	record	length
0	VR-1-1_pFC9_t7_primer_1_	1000
1	VR-1-7_pFC9_t7_primer_1_	1000
2	VR-10-1_pFC9_t7_primer_1_	1000
3	VR-10-2_pFC9_t7_primer_1_	722
4	VR-11-3_pFC9_t7_primer_1_	1000
5	VR-11-5-A_pFC9_t7_primer_1_	1000
6	VR-11-5-B_pFC9_t7_primer_1_	1000
7	VR-11-6_pFC9_t7_primer_1_	430
8	VR-14-1_pFC9_t7_primer_1_	540
9	VR-14-6_pFC9_t7_primer_1_	961
10	VR-2-2_pFC9_t7_primer_1_	999
11	VR-2-3_pFC9_t7_primer_1_	1000
12	VR-4-1_pFC9_t7_primer_1_	1000
13	VR-4-2-A_pFC9_t7_primer_1_	1000
14	VR-4-2-B_pFC9_t7_primer_1_	957
15	VR-5-1_pFC9_t7_primer_1_	922
16	VR-5-2_pFC9_t7_primer_1_	999
